#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,10:25:47.611,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:25:48.699,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:25:52.425,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:26:41.713,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:26:47.447,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:27:53.699,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:28:27.332,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:28:47.576,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:29:11.793,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:29:36.731,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:29:37.435,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:29:45.546,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:29:52.222,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:29:52.222,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:30:02.874,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:30:04.113,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:30:37.570,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:30:37.570,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:30:43.107,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:30:57.237,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:30:57.251,ENTER,37.34,1,,37.34,,,0,1,B,,,,,
BHP,20130205,10:31:19.844,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:31:19.880,ENTER,37.34,1,,37.34,,,0,1,B,,,,,
BHP,20130205,10:31:29.172,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:31:33.789,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:31:33.789,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:31:42.187,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:31:43.667,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:31:46.316,ENTER,37.34,1,,37.34,,,0,1,B,,,,,
BHP,20130205,10:31:59.488,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:32:07.198,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:33:09.337,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:33:10.396,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:33:16.006,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:33:23.749,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:33:29.154,ENTER,37.38,1,,37.38,,,0,1,A,,,,,
BHP,20130205,10:33:31.300,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:33:31.516,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:33:40.195,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:33:40.195,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:34:05.883,ENTER,37.38,1,,37.38,,,0,1,B,,,,,
BHP,20130205,10:34:05.884,ENTER,37.38,1,,37.38,,,0,1,A,,,,,
BHP,20130205,10:35:11.338,ENTER,37.39,1,,37.39,,,0,1,B,,,,,
BHP,20130205,10:35:13.936,ENTER,37.38,1,,37.38,,,0,1,A,,,,,
BHP,20130205,10:35:23.333,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:35:42.342,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:35:42.342,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:35:46.698,ENTER,37.38,1,,37.38,,,0,1,A,,,,,
BHP,20130205,10:35:52.428,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:36:28.257,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:36:28.257,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:36:28.426,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:36:28.469,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:36:57.002,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:36:58.000,ENTER,37.38,1,,37.38,,,0,1,B,,,,,
BHP,20130205,10:36:58.037,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:36:58.050,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:37:45.067,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:37:45.067,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:37:47.448,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:37:47.448,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:38:02.718,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:38:08.200,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:38:38.294,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:38:44.116,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:38:50.181,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:38:50.181,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:39:54.667,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:39:54.667,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:40:28.286,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:40:41.846,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:41:12.132,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:41:22.137,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:41:27.136,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:42:01.513,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:42:23.411,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:43:49.492,ENTER,37.355,1,,37.355,,,0,1,B,,,,,
BHP,20130205,10:43:51.162,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:43:52.374,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:43:54.753,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:43:56.256,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:43:59.370,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:44:09.100,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:44:22.768,ENTER,37.355,1,,37.355,,,0,1,A,,,,,
BHP,20130205,10:44:22.811,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:44:25.048,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:44:44.619,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:44:48.862,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:45:02.852,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:45:04.419,ENTER,37.355,1,,37.355,,,0,1,A,,,,,
BHP,20130205,10:45:08.374,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:45:08.374,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:45:44.563,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:45:44.563,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:46:17.241,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:46:17.420,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:46:18.955,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:46:18.955,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:46:20.577,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:46:20.596,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:46:22.002,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:46:23.559,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:46:31.281,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:46:31.461,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:46:44.828,ENTER,37.365,1,,37.365,,,0,1,B,,,,,
BHP,20130205,10:47:54.740,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
